Version 4
SHEET 1 2756 1988
SYMBOL voltage -1808 -1456 R0
WINDOW 0 -130 -3 Left 2
WINDOW 3 50 63 Left 2
SYMATTR InstName Vin_CM1
SYMATTR Value {Vin}
SYMBOL IdealSw -1520 -880 R0
WINDOW 39 633 -86 Top 2
WINDOW 0 -77 -118 Top 2
SYMATTR SpiceLine Fs = {Fs}, Ri = {Rsense}, SlopeAmp = {SlopeAmp}, D_min ={D_lo}, D_max = {D_hi}, Vin ={Vin}, Vout = {Vout}, N={N}
SYMATTR InstName X1
SYMBOL res -1712 -1168 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R11
SYMATTR Value 10Meg
SYMBOL voltage 304 -2208 R0
WINDOW 123 0 0 Left 0
WINDOW 39 0 0 Left 0
SYMATTR InstName V6
SYMATTR Value PULSE({R_idle} {R_step} 1m 100n 100n 4m 6m)
SYMBOL ind2 -1408 -1200 R180
WINDOW 0 36 80 Left 2
WINDOW 3 36 40 Left 2
SYMATTR InstName Lsec
SYMATTR Value {L2}
SYMATTR Type ind
SYMBOL cap -400 -1264 R0
SYMATTR InstName C1
SYMATTR Value {Cbulk}
SYMBOL res -624 -368 R0
SYMATTR InstName R1
SYMATTR Value {Rdiv2}
SYMBOL res -624 -608 R0
SYMATTR InstName R2
SYMATTR Value {Rdiv1}
SYMBOL cap -480 -576 R0
SYMATTR InstName C2
SYMATTR Value {Cspeed}
SYMBOL res -1200 -1360 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R6
SYMATTR Value R = V(R_diode)
SYMBOL bv -1232 -1616 R0
SYMATTR InstName B1
SYMATTR Value V= if( V(V_L2) > V(Vout), 1m, 1meg )
SYMBOL voltage 384 -944 R0
WINDOW 0 -49 43 Right 2
WINDOW 3 -86 77 Right 2
SYMATTR InstName Vin_CM3
SYMATTR Value {Vin}
SYMBOL res 2272 -976 R0
SYMATTR InstName R7
SYMATTR Value R = V(Rload)
SYMBOL cap 2144 -976 R0
SYMATTR InstName C4
SYMATTR Value {Cbulk}
SYMBOL TransconErrorAmp 1280 -480 M0
WINDOW 0 351 -49 Left 2
WINDOW 39 -891 314 Left 2
SYMATTR InstName X2
SYMATTR SpiceLine Gain = {TA_Gain}, C_comp2= {TA_Ccomp2}, C_comp = {TA_Ccomp}, R_comp = {TA_Rcomp}, Pos = {TA_compMax}, Neg = 10m,  Vref = {Vref}
SYMBOL res 1664 -384 R0
SYMATTR InstName R4
SYMATTR Value {Rdiv2}
SYMBOL res 1664 -624 R0
SYMATTR InstName R5
SYMATTR Value {Rdiv1}
SYMBOL res -480 -736 R0
SYMATTR InstName R8
SYMATTR Value {Rspeed}
SYMBOL cap 1808 -592 R0
SYMATTR InstName C3
SYMATTR Value {Cspeed}
SYMBOL res 1808 -752 R0
SYMATTR InstName R9
SYMATTR Value {Rspeed}
SYMBOL voltage 1680 -848 R180
WINDOW 0 24 96 Left 2
WINDOW 3 24 16 Left 2
WINDOW 123 68 59 Left 2
WINDOW 39 0 0 Left 0
SYMATTR InstName V1
SYMATTR Value SINE(0 1m 1)
SYMATTR Value2 AC 1m
SYMBOL res -400 -1200 R0
SYMATTR InstName R10
SYMATTR Value {Cesr}
SYMBOL res 2144 -880 R0
SYMATTR InstName R12
SYMATTR Value {Cesr}
SYMBOL cap -464 -1264 R0
SYMATTR InstName C5
SYMATTR Value 100n
SYMBOL cap 2016 -928 R0
SYMATTR InstName C6
SYMATTR Value 100n
SYMBOL res 1408 -1024 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R13
SYMATTR Value 1m
SYMBOL Flyback_CM3 736 -960 R0
WINDOW 0 -40 -120 Bottom 2
WINDOW 39 -57 -103 Left 2
SYMATTR InstName X7
SYMATTR SpiceLine L= {L1}, Fs = {Fs}, Ri = {Rsense}, SlopeAmp = {SlopeAmp}, D_min ={D_lo}, D_max = {D_hi}, N={N}
SYMBOL PWM_BU 496 656 R270
WINDOW 39 -105 -613 VTop 2
SYMATTR SpiceLine f = {Fs}, ks = {Rsense}, L = {L1}, vr = {SlopeAmp}, D_min = {D_lo}, D_max = {D_hi}
SYMATTR InstName X3
SYMBOL voltage 0 448 R0
WINDOW 0 -49 43 Right 2
WINDOW 3 -86 77 Right 2
SYMATTR InstName Vin_CM2
SYMATTR Value {Vin}
SYMBOL res 2176 176 R0
SYMATTR InstName R14
SYMATTR Value R = V(Rload)
SYMBOL cap 2048 176 R0
SYMATTR InstName C7
SYMATTR Value {Cbulk}
SYMBOL TransconErrorAmp 912 1296 M0
WINDOW 0 351 -49 Left 2
WINDOW 39 -317 270 Left 2
SYMATTR InstName X5
SYMATTR SpiceLine Gain = {TA_Gain}, C_comp2= {TA_Ccomp2}, C_comp = {TA_Ccomp}, R_comp = {TA_Rcomp}, Pos = {TA_compMax}, Neg = 10m,  Vref = {Vref}
SYMBOL res 1568 1392 R0
SYMATTR InstName R15
SYMATTR Value {Rdiv2}
SYMBOL res 1568 528 R0
SYMATTR InstName R16
SYMATTR Value {Rdiv1}
SYMBOL cap 1712 560 R0
SYMATTR InstName C8
SYMATTR Value {Cspeed}
SYMBOL res 1712 400 R0
SYMATTR InstName R17
SYMATTR Value {Rspeed}
SYMBOL voltage 1584 304 R180
WINDOW 0 24 96 Left 2
WINDOW 3 24 16 Left 2
WINDOW 123 68 59 Left 2
WINDOW 39 0 0 Left 0
SYMATTR InstName V2
SYMATTR Value SINE(0 1m 1)
SYMATTR Value2 AC 1m
SYMBOL res 2048 272 R0
SYMATTR InstName R18
SYMATTR Value {Cesr}
SYMBOL cap 1920 224 R0
SYMATTR InstName C9
SYMATTR Value 100n
SYMBOL res 1264 128 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R19
SYMATTR Value 1m
SYMBOL ind 448 400 R0
SYMATTR InstName L1
SYMATTR Value {L1}
SYMBOL voltage 736 144 R270
WINDOW 0 34 103 VTop 2
WINDOW 3 29 105 VBottom 2
WINDOW 123 0 0 Left 2
WINDOW 39 0 0 Left 2
SYMATTR InstName Viso_BU
SYMATTR Value 0
SYMBOL e 912 176 M0
WINDOW 0 83 34 Left 2
WINDOW 3 41 63 Left 2
SYMATTR InstName E1
SYMATTR Value {1/N}
SYMBOL bi 1056 256 R180
WINDOW 0 -78 47 Left 2
WINDOW 3 -53 17 Right 2
SYMATTR InstName B2
SYMATTR Value I= I(Viso_BU) / {N}
TEXT 280 -1904 Left 3 !.tran 0 8m 0
TEXT -312 -2280 Left 3 !.param L1 = 800u
TEXT -944 -2432 Left 3 !.param Fs = 100k
TEXT -944 -2392 Left 3 !.param D_lo = 0.05
TEXT -944 -2352 Left 3 !.param D_hi = 0.95
TEXT -944 -2272 Left 3 !.param SlopeAmp = 0.5u
TEXT -1016 -2392 Right 3 ;Duty Cycle Limits
TEXT -944 -2504 Left 4 ;IC Parameters
TEXT -312 -2424 Left 3 !.param Vout = 42
TEXT -312 -2200 Left 3 !.param Cbulk = 300u
TEXT -312 -2168 Left 3 !.param Cesr = 10u
TEXT -312 -2456 Left 3 !.param Vin = 80
TEXT -312 -2248 Left 3 !.param Lesr = 1m
TEXT -944 -2312 Left 3 !.param Rsense = 0.3
TEXT -312 -2040 Left 3 !.param Rdiv2 = 10k
TEXT -312 -2000 Left 2 !.param Rdiv1 = Rdiv2 * (Vout - Vref) / Vref
TEXT -944 -2056 Left 3 !.param Vref = 1
TEXT -944 -2208 Left 3 ;TA Parameters
TEXT -944 -1960 Left 3 !.param TA_Rcomp = 500
TEXT -944 -2000 Left 3 !.param TA_Ccomp = 2n
TEXT -944 -1920 Left 3 !.param TA_Ccomp2 = 500p
TEXT -944 -2168 Left 3 !.param TA_Gain = 320u
TEXT -944 -2136 Left 3 !.param TA_compMax = 5
TEXT -944 -2104 Left 3 !.param TA_compMin = 1m
TEXT 288 -2424 Left 3 !.param I_step = 0.2
TEXT 288 -2464 Left 3 !.param I_idle = 4
TEXT 288 -2368 Left 2 !.param R_idle = Vout / I_idle
TEXT -312 -2120 Left 3 !.param Rspeed = 1k
TEXT -312 -2088 Left 3 !.param Cspeed = 500p
TEXT -312 -2504 Left 4 ;Circuit Parameters
TEXT 288 -2336 Left 2 !.param R_step = Vout / I_step
TEXT 288 -2504 Left 4 ;Load Parameters
TEXT -312 -1936 Left 3 !.param L2 = L1 * N**2
TEXT -1600 -1400 Left 2 !k1 Lpri Lsec 1
TEXT -304 -2352 Left 3 !.param N 0.5
TEXT 280 -1816 Left 3 ;.ac dec 100 100 1meg
TEXT -1040 -2264 Right 2 ;.step param SlopeAmp list 0.1 1
TEXT -448 -1408 Left 2 !.ic V(Vout) = {Vout}
TEXT -1784 -344 Left 2 !.ic V(Vc) = 1.226
TEXT -912 -560 Left 2 !.ic V(Vi) = {Vref}
TEXT 288 -1848 Left 2 ;.step param Vout 30 50 20
RECTANGLE Normal 2696 1984 -3280 -2656 2
